station_nm,site_no,lat,long,state,STUSAB,StreamOrder,Reservoir,DrainageArea_km2,altitude_m_NAVD88
Ramapo River at Pompton Lakes NJ,1388000,40.99194444,-74.28,New Jersey,NJ,5,Below,414.4,53.32
EAST BRANCH DELAWARE RIVER AT HARVARD NY,1417500,42.0245833,-75.11927778,New York,NY,6,Below,1186.22,306.89
EAST BRANCH DELAWARE RIVER AT FISHS EDDY NY,1421000,41.97355556,-75.1751944,New York,NY,6,Below,2030.56,291.23
DELAWARE RIVER AT CALLICOON NY,1427510,41.75675,-75.0574167,Pennsylvania,PA,7,None,4713.8,223.82
DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,1428500,41.50875,-74.9860556,New York,NY,7,None,5231.8,182.73
DELAWARE RIVER AT BARRYVILLE NY,1432160,41.47536824,-74.91238898,Pennsylvania,PA,7,None,6886.81,170.48
DELAWARE RIVER AT POND EDDY NY,1432805,41.4389808,-74.8193318,Pennsylvania,PA,7,None,7303.8,NA
NEVERSINK RIVER AT BRIDGEVILLE NY,1436690,41.63805556,-74.61688889,New York,NY,5,Below,442.89,321.73
"West Branch Brandywine Creek at Coatesville, PA",1480500,39.98566144,-75.8274467,Pennsylvania,PA,4,Above,118.622,94.38
"BROAD RIVER NEAR CARLISLE, SC",2156500,34.5951393,-81.4212089,South Carolina,SC,7,None,7226.1,88.39
"TYGER RIVER NEAR DELTA, SC",2160105,34.5354163,-81.548158,South Carolina,SC,6,None,1965.81,92.08
"ENOREE RIVER AT WHITMIRE, SC",2160700,34.5093039,-81.5981594,South Carolina,SC,6,None,1149.96,91.32
"BROAD RIVER NEAR JENKINSVILLE, SC",2160991,34.26070285,-161.2793455,South Carolina,SC,7,Below,12302.5,1.1
"LITTLE SALUDA R NEAR PROSPERITY, SC",2167716,34.0795843,-81.5617714,South Carolina,SC,6,Above,NA,107.78
"CHATTAHOOCHEE RIVER NEAR FAIRBURN, GA",2337170,33.65666667,-84.6736111,Georgia,GA,7,None,5335.4,218.94
"COOSA RIVER (MAYO'S BAR) NEAR ROME, GA",2397000,34.2005,-85.2564167,Georgia,GA,8,None,10463.6,168.61
"COOSA RIVER AT STATE LINE, AL/GA",2397530,34.20176124,-85.447458,Alabama,AL,8,None,11297.58,167.49
"LITTLE CAHABA RIVER BELOW LEEDS, AL.",2423397,33.53454886,-86.5624847,Alabama,AL,4,None,44.03,182.61
"CAHABA RIVER NEAR HOOVER, AL",2423496,33.3692767,-86.7841551,Alabama,AL,6,None,585.34,116.79
TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,2455980,33.71121273,-86.6961013,Alabama,AL,4,None,70.966,154.01
"FIVEMILE CREEK NEAR REPUBLIC, AL",2457595,33.5970492,-86.8680483,Alabama,AL,4,None,134.421,NA
"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",2458450,33.5176059,-86.8791584,Alabama,AL,3,None,86.765,155.07
"MUSKEGON RIVER NEAR STANWOOD, MI",4121660,43.61308,-85.4778209,Michigan,MI,6,Below,4750.06,NA
"MUSKEGON RIVER NEAR OXBOW, MI",4121680,43.485857,-85.63060189,Michigan,MI,6,Below,5001.29,NA
"LITTLE MUSKEGON RIVER NEAR OAK GROVE, MI",4121944,43.43085818,-85.5955989,Michigan,MI,5,None,893.55,229.7
"MUSKEGON RIVER NEAR CROTON, MI",4121970,43.43474558,-85.6653239,Michigan,MI,6,Below,5990.67,205.8
NORTHRUP CREEK AT NORTH GREECE NY,422026250,43.2536111,-77.7422222,New York,NY,1,None,26.159,93.03
ALLEN CREEK NEAR ROCHESTER NY,4232050,43.12802778,-77.527,New York,NY,3,None,74.851,114.5
Madison River bl Ennis Lake nr McAllister MT,6041000,45.49023056,-111.6345056,Montana,MT,7,Below,5569.536,1430.31
Missouri River at Toston MT,6054500,46.1465722,-111.4202778,Montana,MT,7,None,37920.19,1191.55
"SOUTH PLATTE RIVER AT ENGLEWOOD, CO.",6711565,39.66498738,-105.004149,Colorado,CO,8,None,8782.69,1601.3
"ARKANSAS RIVER AT GRANITE, CO.",7086000,39.04277116,-106.2658553,Colorado,CO,7,None,6368.81,2718.35
